"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 31 03:48:24 UTC 2024","Sun Mar 31 03:48:34 UTC 2024","10396","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sun Mar 31 03:01:39 UTC 2024","Sun Mar 31 03:01:47 UTC 2024","7933","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sun Mar 31 03:20:47 UTC 2024","Sun Mar 31 03:20:48 UTC 2024","469","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Mar 31 02:47:30 UTC 2024","Sun Mar 31 02:47:33 UTC 2024","3122","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sun Mar 31 03:48:09 UTC 2024","Sun Mar 31 03:48:18 UTC 2024","8885","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sun Mar 31 03:17:38 UTC 2024","Sun Mar 31 03:17:44 UTC 2024","6096","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sun Mar 31 03:05:06 UTC 2024","Sun Mar 31 03:05:10 UTC 2024","3771","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sun Mar 31 03:36:56 UTC 2024","Sun Mar 31 03:37:17 UTC 2024","20974","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Mar 31 06:13:20 UTC 2024","Sun Mar 31 06:13:25 UTC 2024","4489","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Sun Mar 31 06:15:17 UTC 2024","Sun Mar 31 06:16:00 UTC 2024","42754","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Sun Mar 31 03:41:23 UTC 2024","Sun Mar 31 03:42:20 UTC 2024","56485","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Sun Mar 31 05:00:36 UTC 2024","Sun Mar 31 05:00:47 UTC 2024","11145","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sun Mar 31 02:44:22 UTC 2024","Sun Mar 31 02:44:31 UTC 2024","9004","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sun Mar 31 03:48:34 UTC 2024","Sun Mar 31 03:48:37 UTC 2024","2680","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sun Mar 31 06:07:14 UTC 2024","Sun Mar 31 06:07:21 UTC 2024","6357","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sun Mar 31 03:17:17 UTC 2024","Sun Mar 31 03:17:38 UTC 2024","20205","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Mar 31 03:20:44 UTC 2024","Sun Mar 31 03:20:47 UTC 2024","3813","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Mar 31 03:45:16 UTC 2024","Sun Mar 31 03:45:27 UTC 2024","10497","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sun Mar 31 04:39:03 UTC 2024","Sun Mar 31 04:39:04 UTC 2024","1087","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sun Mar 31 06:12:29 UTC 2024","Sun Mar 31 06:12:29 UTC 2024","16","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"skipped","Sun Mar 31 02:43:17 UTC 2024","Sun Mar 31 02:43:17 UTC 2024","3","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sun Mar 31 02:43:17 UTC 2024","Sun Mar 31 02:43:36 UTC 2024","18747","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sun Mar 31 06:07:21 UTC 2024","Sun Mar 31 06:07:21 UTC 2024","345","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sun Mar 31 02:42:54 UTC 2024","Sun Mar 31 02:43:17 UTC 2024","23457","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sun Mar 31 03:05:10 UTC 2024","Sun Mar 31 03:05:10 UTC 2024","249","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sun Mar 31 04:39:09 UTC 2024","Sun Mar 31 04:39:10 UTC 2024","1470","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sun Mar 31 04:39:04 UTC 2024","Sun Mar 31 04:39:09 UTC 2024","4811","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sun Mar 31 03:40:08 UTC 2024","Sun Mar 31 03:40:11 UTC 2024","3656","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Mar 31 06:09:49 UTC 2024","Sun Mar 31 06:10:08 UTC 2024","19006","","21. Forgot password function","","","","2. Reset password",""
"passed","Sun Mar 31 04:30:27 UTC 2024","Sun Mar 31 04:30:28 UTC 2024","1217","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sun Mar 31 03:45:27 UTC 2024","Sun Mar 31 03:45:31 UTC 2024","3963","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Mar 31 03:41:20 UTC 2024","Sun Mar 31 03:41:23 UTC 2024","3608","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Mar 31 03:05:10 UTC 2024","Sun Mar 31 03:05:20 UTC 2024","10012","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sun Mar 31 06:07:21 UTC 2024","Sun Mar 31 06:07:31 UTC 2024","9654","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
